ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-06-24 12:05:05.929952,-57.329155955014244,-66.29506209624148,-47.538296181809585,-57.329155955014244,-57.329155955014244,0.0,0.0,0.0,0.0,0.0,0.0,-57.329155955014244
2024-06-24 12:05:05.930331,-57.32915595121701,-66.13715826294519,-48.09765595319223,-57.32915595121701,-57.32915595121701,0.0,0.0,0.0,0.0,0.0,0.0,-57.32915595121701
2024-06-24 12:05:05.930704,-57.329155947479876,-66.43647256305395,-47.998403039701635,-57.329155947479876,-57.329155947479876,0.0,0.0,0.0,0.0,0.0,0.0,-57.329155947479876
2024-06-24 12:05:05.931089,-57.329155943622524,-66.2476471021815,-47.58673477916619,-57.329155943622524,-57.329155943622524,0.0,0.0,0.0,0.0,0.0,0.0,-57.329155943622524
2024-06-24 12:05:05.931465,-57.32915593985535,-66.01559518089284,-47.91794826324499,-57.32915593985535,-57.32915593985535,0.0,0.0,0.0,0.0,0.0,0.0,-57.32915593985535
2024-06-24 12:05:05.931840,-57.32915593609819,-67.10361054078572,-48.198628288699844,-57.32915593609819,-57.32915593609819,0.0,0.0,0.0,0.0,0.0,0.0,-57.32915593609819
2024-06-24 12:15:21.548393,-57.32298801288077,-66.2836772968204,-47.704409824597455,-57.32298801288077,-57.32298801288077,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298801288077
2024-06-24 12:15:21.550620,-57.322987990568244,-66.58709029588915,-47.90176046360588,-57.322987990568244,-57.322987990568244,0.0,0.0,0.0,0.0,0.0,0.0,-57.322987990568244
2024-06-24 12:15:21.551645,-57.32298798029866,-67.35923992193852,-48.207166338843194,-57.32298798029866,-57.32298798029866,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298798029866
2024-06-24 12:15:21.552348,-57.32298797325524,-66.24981499753619,-47.84454269733116,-57.32298797325524,-57.32298797325524,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298797325524
2024-06-24 12:15:21.552966,-57.32298796706343,-67.00435647285575,-47.31459081816686,-57.32298796706343,-57.32298796706343,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298796706343
2024-06-24 12:15:21.553412,-57.32298796259491,-66.29090838259764,-48.43379452396323,-57.32298796259491,-57.32298796259491,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298796259491
2024-06-24 12:15:21.553983,-57.32298795687401,-66.58332915808582,-48.201508460252235,-57.32298795687401,-57.32298795687401,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298795687401
2024-06-24 12:15:21.554494,-57.32298795175426,-65.93332217163172,-48.149703647676084,-57.32298795175426,-57.32298795175426,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298795175426
2024-06-24 12:15:21.554911,-57.32298794757629,-66.34580260584734,-48.19742842048245,-57.32298794757629,-57.32298794757629,0.0,0.0,0.0,0.0,0.0,0.0,-57.32298794757629
2024-06-24 12:15:21.555362,-57.322987943057676,-66.66181753498907,-48.13238464906133,-57.322987943057676,-57.322987943057676,0.0,0.0,0.0,0.0,0.0,0.0,-57.322987943057676
